,From,To
41698,5731,7416
41700,5731,9181
41702,8769,7744
41706,9315,1454
41707,9315,9762
41710,2614,5322
41711,4044,488
41717,4044,7790
41718,3944,2170
41727,8478,8744
41729,7127,8733
41730,7127,9448
41734,5934,867
41735,5934,4659
41736,5934,7151
41738,8374,6627
41743,8794,2673
41744,8794,4929
41745,2595,1424
41747,2595,8957
41748,8826,178
41750,6019,5217
41753,6044,1692
41754,6044,2252
41755,6044,3772
41756,6044,6039
41757,6044,6040
41758,6091,5501
41759,4446,785
41761,4446,7395
41762,4446,8371
41763,4171,81
41766,6527,1273
41767,6527,4979
41769,6527,8553
41770,6655,528
41773,798,2808
41786,7376,6160
41788,7376,6591
41789,7376,8249
41793,5017,1045
41794,5017,1075
41795,5017,2613
41800,8751,5767
41804,3334,7540
41806,1824,811
41809,1824,2168
41815,1824,7096
41820,7149,1026
41827,7149,8048
41829,5203,9662
41830,277,8551
41832,2253,1746
41833,2253,2511
41838,2253,8731
41845,9317,3337
41846,9317,3544
41847,7726,918
41848,8796,4549
41851,322,539
41852,322,1238
41853,322,1336
41854,322,1613
41860,322,5322
41862,322,8905
41863,322,9144
41866,2077,187
41867,2077,5711
41868,6705,978
41869,704,7764
41870,704,8547
41872,7648,2824
41873,7648,4585
41874,7648,7038
41879,8711,7625
41880,8711,8878
41882,3253,4269
41886,6664,431
41889,6664,6698
41890,2967,562
41891,2967,620
41900,2967,6927
41906,2967,9866
41909,7513,6729
41910,303,210
41911,303,2627
41921,3083,5323
41923,9236,6155
41924,9236,6510
41926,6242,3209
41927,2490,2306
41928,2490,5036
41929,2490,9714
41957,6985,6879
41963,1040,2719
41964,1040,4566
41971,5130,1724
41972,5130,1894
41973,5130,9136
41974,9643,5039
41975,9643,7819
41976,9643,9798
41977,1520,9098
41978,8795,2420
41979,2183,1190
41980,2183,1871
41981,2183,9179
41985,8712,2002
41986,8712,8951
41987,4393,9465
41992,3248,6765
41994,3312,1324
41995,3312,3248
41998,3626,8504
42001,2714,5357
42002,819,631
42004,819,6766
42008,7228,819
42009,7228,5436
42014,9320,2220
42039,97,5853
42040,97,7497
42041,97,8595
42042,866,1418
42043,7743,1611
42053,9498,387
42054,9498,3788
42055,9498,5949
42061,7630,2529
42062,5699,12
42063,5699,520
42064,4057,6416
42066,4057,8263
42067,4057,9028
42068,1550,3534
42071,2960,1386
42079,4910,2850
42080,4910,3664
42081,4910,6719
42086,2057,4852
42092,3595,6485
42093,3595,8689
42094,1460,703
42095,1460,6017
42096,1460,9213
42109,4278,1547
42120,3411,2979
42128,7331,5670
42129,1280,1914
42130,6417,4974
42131,9867,3470
42132,9867,9187
42133,3837,6551
42135,3837,9652
42138,7036,2679
42144,7036,9715
42145,6127,2765
42148,6127,6178
42150,6127,6361
42151,2068,7952
42152,2068,8469
42162,8431,2048
42163,8431,2555
42164,8431,4538
42166,6978,8472
42167,8633,5841
42168,8633,8696
42169,8633,9831
42175,6067,8878
42177,6673,2847
42179,6673,6067
42182,6670,7096
42186,8757,2049
42187,8757,6780
42188,2124,6543
42190,9423,1668
42195,286,7447
42196,286,8865
42199,2029,9445
42200,7678,75
42201,243,293
42202,243,8464
42203,5400,7952
42207,920,7353
42212,4795,2832
42213,9809,8521
42215,9761,6840
42219,3946,8637
42220,6889,1920
42222,6889,9405
42226,9176,4465
42233,8421,3034
42234,8421,4424
42235,8421,7096
42237,3231,2694
42240,5309,4819
42242,750,1911
42251,9550,3853
42252,3507,454
42253,3507,4708
42254,3507,5451
42255,3507,8661
42256,8949,3681
42257,54,7406
42258,54,7785
42259,6200,2114
42260,8725,2576
42261,7514,4851
42262,7514,5299
42263,5897,7613
42271,418,1992
42272,418,9352
42281,9743,3975
42282,9743,4310
42283,9743,6486
42284,9743,7024
42285,2086,121
42288,689,3055
42290,2633,379
42291,1257,2567
42294,3863,8986
42295,3863,9243
42297,433,4274
42298,433,6155
42300,5993,7048
42311,7805,9390
42313,1625,3819
42314,1625,5421
42315,1625,8939
42316,4080,8228
42317,197,456
42318,197,6083
42319,4371,936
42321,4371,6884
42322,4371,9196
42324,8875,8815
42325,2915,7361
42326,8377,5417
42327,8244,5490
42332,2126,4364
42333,9372,3808
42335,9191,113
42337,9191,1508
42338,9191,3929
42339,9191,4956
42340,9191,5701
42341,9191,6187
42353,6651,4633
42354,6651,5915
42355,6651,6888
42356,6651,7632
42357,813,5764
42360,813,9112
42362,813,9764
42365,7280,4060
42366,6902,4180
42368,6829,570
42378,9769,5651
42379,9769,6401
42380,9769,9613
42381,9162,929
42382,9162,4584
42384,2988,1312
42388,2988,8786
42402,9032,127
42403,9032,3160
42404,9032,3990
42405,9032,8572
42406,1660,5066
42407,1660,7402
42409,9432,4130
42411,1455,1970
42412,1455,2741
42414,1455,3415
42417,8236,5705
42418,8236,9837
42422,3384,7727
42423,3384,7867
42424,3384,8775
42431,7186,7044
42432,9443,7813
42434,6604,6542
42435,1727,6245
42436,8903,2003
42440,4408,5428
42442,4408,7307
42445,4665,4408
42446,4665,7795
42449,8130,9829
42450,778,2662
42453,2537,2929
42458,5724,5124
42459,5313,3234
42460,5313,9127
42464,8004,2907
42465,8004,8180
42466,8004,9837
42467,7068,2307
42468,7068,2356
42469,7068,2495
42470,216,12
42471,216,141
42472,216,1748
42473,9595,2057
42474,9595,3853
42475,4774,2360
42477,6264,3957
42479,7718,2187
42481,7718,7017
42482,7718,7173
42484,3081,1763
42486,3081,4505
42488,3081,8524
42490,3081,9181
42491,995,371
42493,995,5753
42497,4994,2992
42498,4994,7524
42507,6824,8121
42508,5633,877
42509,5633,7694
42510,7603,3484
42511,7603,5263
42518,2615,6664
42521,2715,2615
42523,4663,3343
42525,5437,6120
42526,5437,8081
42527,6188,8657
42533,6554,2896
42535,6554,5578
42537,6554,6262
42541,6554,7721
42545,3515,5654
42546,3515,8661
42547,3515,8957
42548,2745,223
42549,2745,2131
42550,2745,4742
42551,2745,5772
42552,4576,2583
42553,4576,3636
42554,4576,8624
42562,9234,3472
42563,9234,7831
42564,3046,2689
42565,5815,5516
42566,5815,6820
42567,7927,1769
42571,7927,7559
42572,4656,4390
42573,2496,6511
42574,4198,1407
42575,4198,3747
42576,95,181
42588,6908,1410
42590,6908,5051
42593,5573,78
42598,6644,9213
42599,8867,1284
42600,8867,2413
42601,8867,2707
42602,8867,6754
42605,1397,2662
42607,4757,4207
42614,755,7742
42616,2260,426
42618,2260,1532
42623,2260,8350
42624,6656,2260
42625,6656,7974
42626,4952,952
43076,7379,4153
43158,9357,804
43159,9357,1032
43160,9357,1114
43161,9357,1267
43162,9357,1269
43163,9357,1306
43164,9357,1321
43165,9357,2322
43166,9357,2394
43167,9357,2625
43168,9357,3418
43169,9357,4481
43170,9357,4640
43171,9357,4813
43172,9357,5339
43173,9357,5433
43174,9357,5448
43175,9357,5770
43176,9357,7029
43177,9357,7379
43178,9357,7594
43179,9357,7905
43180,9357,8187
43181,2634,424
43185,8285,1220
43186,8285,5046
43187,8285,9494
43189,4580,858
43190,6482,5308
43191,6482,5516
43192,6482,6103
43197,4248,6776
43201,2255,6515
43202,8631,68
43203,8631,2767
43205,3894,1275
43206,3894,1318
43207,3894,2492
43208,3894,5290
43211,730,2080
43212,730,2787
43215,8516,4528
43216,8516,7863
43217,5869,7914
43229,4533,339
43230,4533,342
43251,9245,339
43252,9245,340
43253,9245,595
43254,9245,1062
43255,9245,3809
43258,6309,4575
43264,3480,2622
43265,3480,8427
43266,7892,3076
43267,7892,9417
43268,6941,823
43269,6941,5117
43270,5467,4558
43271,7575,3401
43281,8718,1313
43282,8718,3596
43283,8718,5680
43292,3499,7406
43293,3499,9654
43294,7373,4188
43295,7373,5661
43296,7373,6623
43298,6772,7260
43299,3116,623
43300,3116,2743
43301,3116,7496
43304,776,5859
43310,8215,6539
43311,8215,6632
43312,8215,6719
43313,1708,647
43315,1708,5354
43316,9665,3434
43317,9665,4090
43318,3702,1908
43319,7144,62
43322,7144,6179
43328,1056,615
43330,1056,7587
43331,5191,8178
43332,9622,162
43333,9622,453
43334,9622,490
43336,9622,3105
43337,9622,3678
43338,9622,9080
43341,2123,3549
43343,2123,6796
43344,2123,7816
43345,2123,8262
43346,2123,9409
43355,3623,2737
43356,6500,1405
43357,7131,1859
43359,7131,4721
43363,5281,3963
43367,5281,5836
43370,907,1796
43371,907,2247
43375,3542,6187
43376,3542,8943
43377,2481,8693
43378,1093,5954
43379,2330,2160
43380,2330,2824
43381,2330,8927
43382,5822,33
43384,5822,3539
43395,5113,593
43407,9221,5364
43408,6969,5594
43409,6969,6407
43411,8148,200
43412,4635,7913
43419,6009,2293
43420,6009,3101
43423,6325,5197
43424,6325,7288
43425,5294,9179
43426,8527,2934
43427,8527,4082
43428,8527,9080
43430,9288,1677
43431,5458,2709
43437,8558,1076
43438,8558,4452
43440,8085,1549
43441,8085,6263
43442,8085,7762
43444,8085,8991
43447,3578,7955
43450,5090,2656
43451,5090,2967
43452,7715,665
43453,7715,5879
43458,8360,5353
43459,8360,7142
43462,8014,6906
43463,8014,7568
43464,3712,2924
43465,3712,9785
43467,6296,5134
43470,91,8248
43472,2607,9660
43473,1664,113
43474,1664,3015
43475,1664,3276
43476,4158,6815
43477,4158,9333
43479,3517,8654
43480,3517,8724
43482,5160,9738
43483,6679,5250
43484,6679,5739
43485,6679,7676
43487,6525,3341
43488,6525,5822
43489,4607,185
43490,4607,6715
43491,1101,7986
43492,9611,1019
43493,9611,7306
43496,9422,9364
43500,3535,6355
43501,3535,7672
43504,5634,3865
43506,5634,5240
43515,9608,2623
43516,9608,8899
43517,1768,268
43518,1768,287
43519,1768,1224
43520,1768,2067
43521,1768,3078
43522,1768,5110
43523,1768,7510
43527,8084,2098
43528,8084,8899
43529,3617,1072
43530,9202,1072
43532,4869,1225
43535,4869,4807
43537,4869,5919
43540,4869,9148
43543,3545,4983
43549,6429,1037
43550,6429,5601
43553,6429,6293
43554,5932,4064
43557,4540,6586
43558,4268,4540
43559,4268,6529
43560,4125,816
43561,4125,6970
43562,4125,7914
43563,4125,9455
43569,2157,9756
43570,9772,9675
43571,6725,9820
43573,9201,4400
43574,9201,6100
43575,9201,7613
43581,3171,3592
43582,3171,5003
43587,4184,4286
43590,5169,4184
43591,5169,9820
43592,7868,5648
43596,9322,5028
43598,7095,9151
43599,3781,2024
43600,3781,4840
43601,3781,6793
43602,1158,2988
43603,1158,8894
43604,7978,8717
43612,6625,209
43613,6625,4439
43614,6625,4955
43615,7250,2007
43617,7250,5893
43618,1840,6900
43619,1840,7031
43620,7080,8220
43621,4936,3049
43625,5830,2321
43626,5830,4500
43627,5830,4785
43630,6640,242
43631,6640,3777
43642,9751,2419
43643,9516,9756
43644,4406,7529
43645,2949,9492
43646,6240,2503
43647,6240,6600
43648,6240,6973
43649,5779,3269
43651,5779,3434
43652,5779,5972
43656,9005,5385
43657,9005,5939
43659,8140,2883
43660,8140,9458
43661,5955,7090
43662,535,6719
43663,535,6729
43665,9797,9067
43666,7006,2521
43667,7006,4468
43668,6784,7572
43669,483,2271
43670,2955,512
43678,8156,8541
43683,1494,7470
43684,1494,8666
43686,3092,502
43687,4719,2756
43688,4719,7287
43695,8841,6098
43696,8841,7169
43697,8841,7772
43701,8841,9716
43702,1845,2517
43703,915,4748
43709,5692,3790
43710,5692,6454
43711,3478,1766
43713,3478,9295
43714,5842,3478
43715,6443,3273
43716,6443,3820
43719,6368,6372
43722,8602,3536
43723,8602,7528
43727,7656,4675
43739,7078,6519
43740,9539,142
43741,7083,3293
43742,7083,9518
43745,4745,1798
43746,4745,4030
43747,9109,5366
43748,2687,920
43753,2687,8535
43757,6637,5780
43758,3556,1454
43759,903,2
43760,903,1549
43761,903,7150
43762,903,7432
43763,903,9416
43770,8947,8376
43774,8947,9560
43776,9615,295
43777,9615,765
43794,8760,171
43795,8760,1837
43796,8760,2792
43797,8760,2927
43798,8760,5004
43800,8760,8569
43801,8760,8758
43802,9624,9319
43803,4340,3283
43804,4340,4554
43805,4340,6337
43806,4340,8601
43808,10,7145
43810,7827,4408
43812,1788,1789
43813,7622,2225
43815,2454,8086
43816,4590,2454
43820,7554,2524
43821,2589,7540
43824,2341,2057
43826,2341,6125
43835,7011,2341
43836,7011,9329
43838,8620,4384
43859,4045,664
43860,4045,2320
43861,4045,5896
43862,4045,6014
43864,5513,9314
43865,3711,3548
43866,3711,5821
43867,3711,6543
43868,5849,4402
43869,8475,3038
43870,8475,7461
43873,1651,3765
43875,1651,5494
43877,9612,3492
43882,2434,5792
43883,2434,6437
43885,2434,8185
43886,5453,1630
43888,5453,2434
43893,3612,415
43894,3612,3432
43895,3612,3674
43896,3612,8507
43897,315,3011
43898,315,3012
43900,7669,6148
43902,8069,2494
43903,4684,17
43904,4684,923
43905,52,737
43907,52,1375
43909,4076,2788
43910,4076,2994
43913,4076,4033
43914,4076,7104
43915,4076,7953
43916,4076,8058
43917,9818,737
43918,9818,751
43919,9818,3293
43920,9818,9082
43922,9818,9869
43926,8780,7629
43929,3199,4625
43932,3199,7999
43934,9184,2713
43935,9184,3199
43936,9184,5748
43937,9184,6002
43939,6022,5214
43941,6051,1364
43942,6051,4033
43943,6051,6022
43947,7784,1245
43948,7784,3354
43949,3051,5027
43950,3051,7148
43951,4436,4859
43953,4436,6552
43954,4436,6990
43955,4436,8089
43956,4436,9327
43957,4436,9785
43961,8914,3008
43962,8914,5392
43963,8914,8251
43964,9774,4856
43966,3219,4687
43967,8496,375
43971,8496,8314
43974,2647,7756
43975,2647,8535
43976,2647,9490
43977,2647,9513
43978,1388,905
43979,1388,978
43981,1388,2181
43983,1388,7432
43984,683,2527
43986,9229,6995
43987,9229,8335
43988,9229,9211
43989,3224,3855
43990,3224,4387
43991,3224,6288
43992,3224,8055
43995,9733,9031
43996,2590,4354
43997,7164,743
44006,2448,5413
44007,2448,8484
44008,2448,9165
44009,2437,7100
44010,2437,8553
44011,5982,5426
44012,6617,4327
44013,6617,7310
44014,5905,55
44015,5905,6018
44016,9394,7724
44017,8296,3323
44018,8296,5715
44019,8296,8298
44020,7598,5287
44021,4938,1795
44022,2563,345
44023,2563,8301
44032,1842,1781
44033,1842,5474
44034,1842,7584
44035,1842,7977
44036,7574,2959
44037,7574,9403
44041,9808,9813
44043,3647,8604
44044,8466,2512
44045,8466,2646
44046,8466,4807
44047,5744,888
44048,5744,3341
44053,7162,2935
44058,2063,8806
44065,4865,7432
44068,9713,4334
44070,9713,6647
44071,9713,8885
44072,4710,2472
44074,4710,6178
44075,9857,602
44076,1446,99
44078,1446,6636
44080,7240,976
44081,7240,1446
44082,472,444
44085,7767,188
44086,7767,6385
44088,7664,1935
44090,7664,3552
44091,7664,4924
44093,7664,5009
44094,7664,5302
44096,7664,8890
44097,6286,8508
44098,6286,9684
44099,7285,4048
44100,7285,5213
44101,1365,7149
44103,3949,4069
44107,8830,18
44109,8830,3979
44110,1464,3428
44112,1464,8398
44119,225,1153
44122,6944,1033
44123,6944,6828
44124,5596,5739
44125,6203,5284
44126,6203,8113
44129,6621,5045
44132,9093,6621
44180,9414,1205
44183,9414,5025
44185,9414,5895
44186,9414,8333
44198,7806,7258
44201,157,2112
44205,157,8315
44206,6822,1009
44207,6822,8320
44208,6822,9083
44213,6317,912
44216,6849,3032
44217,6849,4413
44218,1707,6686
44219,1707,6724
44223,5580,2021
44224,5580,2214
44225,5580,5409
44226,5831,5910
44227,5831,6780
44228,3519,3922
44229,1598,1508
44230,5837,4087
44231,5837,4967
44234,4904,157
44236,4904,8228
44237,8031,5806
44241,9267,116
44242,9267,4486
44250,1217,9638
44251,7966,1217
44252,7966,8487
44253,9814,2341
44255,4415,1715
44256,4415,2846
44258,4415,4277
44260,4415,5573
44266,8705,1045
44267,8705,3253
44268,8705,4560
44271,3500,6971
44274,447,9050
44279,4194,3959
44282,4194,9434
44284,344,5858
44285,344,8400
44286,2876,2122
44287,2876,5250
44288,2876,5323
44289,4674,4840
44290,4674,7527
44291,2243,871
44292,2243,3185
44298,2561,4929
44299,2561,9775
44300,3850,2057
44301,3850,2561
44303,9272,7984
44306,9145,6912
44313,6204,191
44314,5663,3787
44317,1199,5996
44318,1199,6535
44321,1050,3446
44324,1050,5868
44328,3275,2548
44329,3275,2947
44330,3275,3506
44331,3275,9617
44334,4778,9766
44335,2150,55
44336,2150,5563
44337,2150,8567
44338,2053,3035
44339,2053,3750
44341,2053,8934
44343,8029,5947
44344,9270,399
44345,9270,7960
44346,9270,8186
44347,9270,8995
44349,8937,1466
44351,8937,5606
44354,8937,6924
44355,8937,7576
44356,4423,3981
44357,6447,572
44360,2166,8685
44361,2166,9235
44362,6259,565
44368,8261,7555
44369,8261,8374
44371,386,3456
44372,386,5698
44373,386,6693
44374,386,9239
44375,7617,72
44377,7924,731
44380,7236,8314
44382,2844,879
44383,9673,129
44384,9673,984
44385,9673,2464
44386,9673,4748
44387,9673,9325
44388,8036,4321
44389,8036,4517
44390,5946,1012
44406,8234,1688
44413,6680,1044
44415,6680,9870
44425,8204,474
44426,8204,4397
44427,8204,7814
44428,4868,930
44429,9718,6475
44430,9718,7117
44431,9718,8867
44432,5163,2064
44433,1801,3481
44434,1801,4179
44435,1801,5391
44437,839,52
44438,839,6820
44439,839,8844
44441,4513,4029
44443,815,7847
44445,8714,7628
44446,3237,757
44447,3237,1634
44448,3237,6271
44449,3237,7688
44450,3237,9411
44451,9734,8184
44454,7360,1095
44455,7360,1908
44456,7360,2028
44457,7360,2197
44459,7360,4715
44465,1591,8592
44466,2138,2574
44467,2138,4555
44468,8739,7160
44470,8739,9724
44471,549,3524
44472,9863,1529
44473,9863,3095
44474,9863,3966
44475,9863,7062
44476,9863,7294
44477,9863,8662
44478,1066,3500
44479,6076,2626
44480,6076,9531
44481,2066,4792
44482,1855,8200
44483,8124,490
44484,8124,613
44485,8124,8716
44486,4260,5210
44495,4969,8916
44496,4969,8917
44497,2799,875
44498,2799,4969
44499,2799,7946
44502,1262,5810
44503,7502,1722
44504,7502,5008
44505,7502,6554
44508,7502,8890
44509,7875,6912
44510,7875,7502
44512,5761,2680
44515,8954,2573
44516,8954,8957
44517,5816,1263
44518,5816,1416
44519,5816,4558
44520,2111,157
44526,7015,2967
44530,1055,5560
44533,1055,9263
44536,6490,4752
44583,9190,9165
44585,7604,5113
44586,7604,8390
44594,5989,291
44595,5989,3449
44596,5832,545
44599,4493,5832
44600,4493,6462
44603,2505,1887
44604,2505,7910
44605,9139,3999
44606,706,755
44608,8800,1997
44613,8102,2063
44614,8102,2903
44615,8102,2990
44616,8102,7432
44618,9099,9470
44619,2510,6511
44620,3825,4811
44624,3988,1039
44625,3988,2241
44627,3988,5058
44632,1449,2154
44633,1449,5622
44634,1449,8389
44635,8402,484
44637,8290,6883
44638,8290,7711
44639,8290,8092
44641,8290,8374
44645,8290,9804
44646,469,1057
44647,9512,152
44648,9512,5476
44649,8528,511
44650,8528,6519
44651,8528,8362
44652,9060,8569
44653,2605,4354
44654,2605,7018
44656,9051,6169
44657,5229,3879
44658,4885,1262
44659,4885,5122
44660,4727,3866
44661,4727,5033
44662,7712,754
44664,7712,1072
44665,7712,2908
44667,7712,5796
44677,3124,3358
44678,6219,5210
44679,5362,7120
44680,5362,9240
44681,5362,9601
44687,8173,6738
44688,8173,9724
44689,3366,263
44690,3366,1621
44691,3366,1645
44695,3366,3432
44697,3366,6971
44698,3366,7612
44699,7901,3284
44700,7901,3979
44701,6456,287
44702,5139,7912
44705,7110,2080
44706,7110,2529
44707,3951,2582
44708,3951,8603
44709,2417,2564
44710,2417,3610
44711,2417,7909
44712,2417,8807
44715,4654,191
44716,4654,2875
44717,4654,5459
44718,8597,4376
44720,7661,3344
44721,1899,4742
44739,7489,7094
44740,7489,8815
44742,8799,4526
44743,8799,5791
44744,3252,8691
44752,9289,6207
44754,9289,8598
44755,9289,9119
44758,7411,4748
44759,7411,5272
44760,1370,1907
44761,2206,7907
44762,2206,8571
44763,2206,9731
44764,7339,1425
44765,7339,3953
44770,7339,8109
44771,7339,9097
44773,9796,1090
44774,9796,3114
44775,6494,2955
44776,6494,7723
44777,6494,8123
44782,5343,443
44784,5343,6712
44810,4932,9213
44817,6708,461
44818,6708,6442
44819,6708,8400
44828,9861,5244
44829,9861,6550
44830,9861,7222
44831,9861,7455
44832,2976,7148
44836,8293,1094
44838,8293,9239
44839,7410,9179
44840,1736,519
44841,1736,952
44845,1736,3901
44846,1736,4024
44852,831,3537
44856,7798,886
44857,7798,4065
44858,7798,8469
44859,5021,1250
44863,5021,8717
44864,5729,2778
44865,5729,5021
44866,5729,6483
44875,3904,6974
44885,8963,3261
44886,8963,4440
44887,8963,5977
44890,7935,3027
44891,5180,1891
44894,170,562
44895,170,2596
44896,170,4620
44897,238,2716
44898,238,3705
44902,7682,3883
44903,7682,5601
44911,739,6548
44912,739,7704
44918,988,9683
44919,988,9807
44921,2019,5065
44922,7900,369
44923,7900,9651
44933,4081,2675
44942,4360,3657
44944,4360,6506
44945,4360,6955
44952,3605,3094
44953,3605,5854
44954,3605,9756
44962,173,7585
44963,7343,255
44965,7343,3806
44967,4062,445
44969,4062,6662
44970,1469,1412
44971,1469,3179
44972,3683,7601
44973,632,2982
44974,632,4721
44975,632,6861
44976,632,9492
44993,9461,3790
44995,2415,5248
44996,2415,7265
44997,2415,7433
44998,2415,7873
44999,8447,2225
45001,8536,5864
45002,8536,8859
45004,6438,3218
45006,5645,2292
45007,5645,5407
45008,5645,5996
45011,4930,563
45012,4930,8865
45013,7022,545
45014,7022,680
45015,7022,2093
45016,7022,4905
45017,7022,6028
45018,7022,6102
45022,8929,526
45023,8929,4696
45024,8929,7112
45026,3023,434
45027,3023,952
45028,8158,2554
45029,8158,6538
45031,5156,1248
45045,5819,397
45046,2856,7408
45047,2856,9482
45048,5438,1076
45049,5438,3346
45055,5438,8642
45058,954,4274
45059,954,6662
45061,1822,3999
45062,9039,9167
45064,1717,1998
45065,1717,2707
45066,9180,3967
45067,9180,8220
45070,8433,3479
45071,8433,4470
45072,8401,2967
45073,8401,3600
45076,6146,1949
45081,6360,234
45082,6360,2833
45084,5994,6692
45085,3697,6814
45086,3697,9090
45087,7415,3476
45088,7415,8868
45100,3766,8661
45102,6932,6215
45103,8735,4251
45104,8735,5129
45105,8735,8201
45106,925,2539
45107,925,5766
45108,3858,2528
45109,3858,9326
45110,3368,9488
45111,869,3067
45112,869,3382
45113,869,4989
45116,4068,3724
45117,4068,7665
45119,6892,9795
45120,2205,3757
45127,9722,2341
45128,9722,9607
45129,9722,9788
45130,4522,8724
45134,9579,6293
45135,9579,6309
45138,9579,8503
45139,9579,8650
45140,1826,4101
45141,1826,7948
45142,1826,8525
45143,1826,8657
45144,5390,3782
45145,5390,4867
45146,6180,807
45147,6180,1559
45148,6180,4871
45150,5557,1854
45151,5574,6155
45152,5574,8472
45163,28,1645
45164,28,2018
45165,28,5048
45166,28,6136
45167,28,7589
45168,28,9488
45170,4497,2988
45171,4497,3104
45181,7740,3339
45182,7740,4497
45183,6642,1311
45185,6642,2551
45188,9293,2548
45194,9293,5414
45195,9293,6642
45196,9293,7339
45197,9293,7734
45199,2768,1778
45200,2768,5864
45204,9318,1417
45205,9318,2265
45206,9318,8522
45207,7871,5563
45208,7906,7601
45209,7906,9151
45211,8192,1133
45212,8192,7137
45213,9053,3135
45214,9053,4871
45215,9053,5364
45216,9053,6261
45217,6986,6033
45218,6986,8292
45219,324,976
45220,324,3117
45221,324,7148
45222,324,7209
45223,324,7794
45224,8226,1924
45225,8811,1835
45226,8811,5818
45239,0,8406
45240,558,1236
45241,558,1839
45242,6012,5095
45243,6012,8866
45244,6012,9558
45245,3077,844
45246,3077,9164
45247,543,4867
45248,543,9239
45249,2552,2334
45250,2552,4338
45251,2552,4687
45252,2552,4896
45267,2340,5226
45268,2340,5344
45269,2340,5781
45270,2340,7938
45272,2340,9451
45275,8463,3040
45276,8463,9264
45279,6910,2964
45280,6910,6530
45282,24,2309
45283,8721,3169
45284,8721,8722
45286,5682,6519
45287,7561,4594
45288,7561,8191
45289,3987,898
45290,3987,1785
45294,5022,2930
45295,5022,9217
45296,700,2940
45297,7600,2782
45298,7600,7193
45300,6455,7193
45304,3577,8883
45305,7249,1153
45306,3021,1283
45307,3021,1839
45308,3021,5110
45309,3021,5917
45310,5399,1909
45318,1938,991
45319,8325,3590
45320,8325,7734
45321,46,2360
45322,2584,9570
45323,2584,9599
45324,2811,6260
45325,2811,8136
45326,7811,5656
45327,6186,1351
45330,8053,3312
45331,8053,5374
45332,3739,179
45337,3739,7537
45341,6845,3739
45342,6845,4661
45345,6845,7109
45347,6845,9766
45348,3972,327
45349,7359,3548
45350,7359,5217
45351,6930,3291
45352,6930,5149
45353,6930,5216
45354,6930,8552
45355,6930,8553
45356,4681,6148
45358,7588,1108
45359,8542,921
45360,8542,3506
45361,8984,2680
45363,8984,6987
45367,7459,6816
45368,7459,6867
45369,7459,7847
45370,7459,8682
45372,1886,2930
45374,5030,7723
45378,6213,3609
45379,6678,1557
45380,6678,8959
45383,8354,5801
45384,8354,6957
45402,5769,3851
45408,4993,8353
45411,5626,4027
45412,5626,4238
45414,5626,8308
45415,3085,256
45416,3085,6684
45421,6358,354
45422,6358,1603
45424,6358,9721
45429,7521,8250
45430,7922,6902
45434,8172,2533
45435,8172,2967
45436,8172,9391
45437,450,1205
45440,2178,3162
45442,7709,6540
45443,7709,6839
45445,1806,1498
45446,1806,2241
45448,1806,4667
45449,1806,6686
45454,7284,1806
45457,5221,1466
45458,5221,1607
45459,5221,5605
45460,5221,8157
45461,3464,818
45463,3464,6999
45464,40,350
45465,40,2096
45467,9226,6887
45468,9226,8947
45472,9338,8068
45475,6792,5086
45477,2905,712
45478,2905,3946
45479,2905,5074
45480,6871,2665
45481,6871,9074
45482,6871,9470
45483,7170,7828
45484,9859,7146
45485,9859,7683
45486,3532,9633
45487,5588,3574
45489,9653,4759
45491,9653,6552
45492,9653,9652
45502,5372,20
45503,5372,5959
45504,5372,9036
45505,193,3579
45507,8563,44
45520,3211,294
45521,3211,2385
45522,3211,3421
45523,3211,5038
45524,3211,6827
45525,3211,8908
45526,5222,3356
45527,5222,5151
45528,5222,7850
45531,5000,6423
45533,5473,94
45538,5473,8426
45539,5473,9482
45540,1604,2230
45541,1604,8959
45542,5078,1017
45543,5078,2529
45547,7635,1995
45548,413,1364
45549,413,3871
45553,9218,9169
45554,5997,7234
45555,5997,7585
45556,5349,9216
45557,5941,3741
45558,5941,6198
45559,5941,6283
45560,5941,7536
45564,4553,1354
45566,4553,5859
45572,8618,2349
45573,8618,3095
45586,7881,222
45587,7881,346
45588,7881,5659
45589,7881,6869
45590,7881,7880
45591,7881,8308
45593,6058,9768
45604,7435,5769
45611,8379,4217
45612,8379,5396
45613,8379,6733
45614,8379,6850
45615,8379,9127
45617,5995,6890
45620,749,3341
45621,749,7974
45622,1271,1610
45623,1271,2699
45624,1271,3609
45625,1271,5088
45626,7845,3440
45627,6231,1396
45628,6231,1418
45629,9646,1906
45630,9646,3823
45631,9646,5174
45632,9646,9287
45633,9583,7542
45634,5952,7524
45635,180,5053
45638,1783,2977
45639,1783,8393
45642,1870,5402
45643,2599,1870
45644,2599,2935
45645,3139,1111
45649,630,1597
45650,630,5113
45656,7009,75
45657,7009,3745
45660,2928,2759
45661,2928,7927
45664,2359,2841
45666,2359,3341
45668,2359,6929
45673,88,3958
45674,7580,1543
45675,7580,2567
45676,7580,4944
45677,4059,2107
45678,4059,8165
45679,7865,1229
45680,7865,6511
45683,9303,5996
45690,9171,3801
45691,9171,3836
45692,9171,9480
45693,3052,3098
45694,8265,7974
45695,1169,2626
45696,1169,2647
45697,2654,5601
45701,8235,6318
45703,5387,134
45704,2337,247
45705,2337,8871
45707,4968,1652
45709,7002,4147
