,From,To
25930,5787,1627
25932,7738,2316
25947,2632,5053
25957,7237,9377
25958,675,382
25959,675,9869
25964,2642,2346
25965,2642,3084
25967,2642,5620
25979,6384,5696
25980,6384,6056
25994,8371,7693
25999,3861,5950
26004,7689,7688
26012,3733,3230
26013,3733,5434
26055,7484,5205
26057,9363,3022
26092,4571,3285
26108,6821,790
26109,7133,273
26110,7133,2702
26115,2752,9269
26132,6459,2097
26136,3,178
26138,5587,3
26139,2342,4638
26150,8910,7168
26163,5162,8266
26164,3080,6459
26183,8844,8547
26187,2598,6181
26191,2574,2598
26193,2574,4055
26198,2574,7551
26204,9827,2319
26207,5706,6428
26215,360,6084
26233,4387,4110
26234,4387,4354
26242,4587,2179
26244,3458,1500
26245,3458,5058
26246,7549,3516
26247,7549,5095
26250,3791,1356
26258,7166,8824
26264,7557,2948
26265,7557,5179
26269,603,3408
26270,603,3791
26271,603,4552
26297,2883,2717
26308,3887,265
26309,3887,551
26311,3887,5589
26312,4612,4192
26313,2365,2897
26314,2365,5284
26317,4315,9746
26319,3880,2829
26321,3880,6715
26323,5777,3286
26324,5777,4347
26347,5097,8094
26350,3841,6551
26351,3029,8267
26360,6243,1431
26370,799,814
26388,5665,3143
26389,5665,3289
26390,5665,5370
26391,5665,5382
26395,8197,2078
26397,9378,2882
26398,8225,3243
26399,8225,8855
26401,4441,5920
26425,1294,5218
26426,2969,9416
26429,4775,7276
26431,1628,1527
26443,9866,1700
26452,3666,5782
26458,3961,8407
26460,5484,3961
26464,5717,1986
26465,5717,2838
26471,6954,1387
26476,7099,5315
26479,8743,5125
26489,6764,7706
26501,8470,4950
26508,8468,3425
26532,4428,1484
26533,4428,2142
26534,4428,2194
26536,9116,1648
26539,6291,1104
26540,6291,9764
26542,533,8308
26546,2514,2070
26556,2611,2137
26560,2611,2838
26564,2611,4083
26576,7441,2611
26589,9459,4770
26593,1185,6043
26594,4172,27
26608,4172,7982
26610,3482,2016
26638,9043,7578
26649,7311,7034
26651,7311,7866
26657,5749,6856
26665,2763,4038
26700,8040,7532
26710,638,3935
26712,4724,513
26718,7259,4
26720,7122,5354
26728,9389,3246
26729,9389,7122
26731,982,7888
26732,982,8495
26762,5823,5338
26795,9038,3784
26796,9038,7230
26798,5279,8571
26805,7406,1154
26812,7406,8761
26814,6552,3157
26871,3707,323
26875,7819,6342
26876,7819,9572
26880,1337,210
26886,1744,617
26888,9049,996
26890,9049,4908
26892,2577,9599
26893,9166,3782
26894,9747,2820
26895,9747,4193
26906,3004,8539
26910,1954,3037
26912,9374,1864
26913,9374,1954
26914,9374,4470
26917,2520,1990
26921,2863,3128
26927,3019,7768
26928,6237,3019
26930,7593,4741
26931,7593,6549
26937,9278,7047
26938,7944,4283
26939,7944,9383
26940,6444,9462
26941,6445,9462
26972,1023,9538
26973,1406,1023
26974,8999,2161
26975,8999,4810
26982,2006,8074
26983,3111,2006
26994,2391,7729
26998,4536,2447
26999,4536,2812
27002,1226,1140
27003,1226,2045
27017,8241,3204
27018,8241,4965
27019,7277,982
27027,9444,6177
27028,9444,7813
27050,3645,8940
27052,3624,4604
27086,2631,1022
27087,7375,2704
27089,1338,3140
27090,1338,4697
27102,3015,4724
27104,4825,299
27131,4486,436
27132,4486,805
27142,4486,6770
27143,4486,8629
27155,1757,5084
27160,9441,4660
27168,3145,7816
27169,3625,8669
27191,9586,8510
27224,9134,8087
27229,2423,8121
27232,4639,7422
27234,7198,2429
27240,6522,4175
27241,4318,1227
27242,4318,4639
27252,4963,4908
27263,6693,2860
27269,3383,876
27270,3383,2749
27284,9787,6147
27285,9787,8486
27286,4037,3354
27291,5005,4037
27292,5005,6499
27294,135,4407
27295,135,7707
27310,355,2143
27311,355,2813
27318,3338,347
27319,3338,9686
27324,5962,3290
27327,4891,9329
27328,9002,1244
27330,5208,7824
27338,9418,8786
27371,6801,6483
27375,3840,2534
27381,3829,1784
27382,3829,5205
27385,8806,3146
27395,1340,5817
27396,1340,8806
27402,9345,198
27427,6964,5632
27428,6964,7998
27461,3913,8129
27465,3486,6495
27470,364,3566
27471,7495,109
27472,7495,7665
27473,2069,9478
27493,5033,880
27496,5033,4483
27498,5033,8580
27505,9634,2214
27509,9056,4753
27519,5332,4847
27520,4892,2004
27521,3991,1907
27522,3991,8118
27524,4178,747
27525,9514,6868
27527,3597,3776
27528,3597,6293
27535,3968,1977
27536,3968,5195
27543,449,1936
27544,449,5875
27549,8989,6881
27550,8989,9465
27551,2624,5048
27572,8454,5719
27574,6137,2781
27578,6137,9151
27580,373,8221
27581,3028,508
27585,3028,6377
27586,3028,7614
27588,2499,2032
27628,4856,3044
27632,4856,5073
27638,365,4856
27648,2959,922
27679,6206,1684
27681,3575,1021
27682,3800,2668
27683,3800,9307
27696,4509,6716
27701,2392,8651
27703,9805,463
27707,357,7558
27709,5713,8768
27745,7867,4504
27749,3255,3549
27768,5181,8335
27780,6124,4186
27785,2162,7965
27786,5028,1071
27791,5028,2863
27793,5028,7069
27801,7694,5585
